序列	城市	智慧基础设施	智慧治理	智慧民生	智慧经济	智慧人群	保障体系	加分项	减分项	总分
序列	城市	智慧基础设施	智慧治理	智慧民生	智慧经济	智慧人群	保障体系	加分项	减分项	总分
1	阿坝藏族羌族自治州	8.07	9.9	2.62	3.4	4.5	8.5	2.2	-0.5	38.63
2	安顺	3.28	12.7	3.63	3.7	2.4	9.5	2	-0.5	36.68
3	安阳	4.96	12	2.01	5.4	4.3	9.7	2.2	-1.5	39.13
4	鞍山	5.41	9.4	3.2	3.9	3.9	9	2.2	-1	36.01
5	巴音郭楞蒙古自治州	3.17	4.6	1.63	4	4.6	8	2	-1	27.04
6	白山	3.25	9.5	1.64	5.7	3.7	8.5	2.5	0	34.8
7	白银	4.54	11.4	3.64	4.4	4.4	9.5	2.2	-0.5	39.59
8	蚌埠	7.25	8.2	2.69	6.2	3.7	6.5	2	-1	35.55
9	包头	8.59	9.5	3.19	4.9	5.3	11	2	-0.5	43.92
10	宝鸡	9.22	4.7	1.7	5.1	5.2	9.5	2.2	-0.5	37.13
11	保定	9.17	10.1	2.31	5	4.5	8	2.2	-1	40.28
12	北京	15.45	15.4	11.73	10.8	11.8	11	4	-1.5	78.68
13	毕节	3.94	13	2.65	3.5	3.4	8.5	1.8	-0.5	36.28
14	亳州	10.01	11.6	1.69	5.7	3	9	2.2	-0.5	42.65
15	沧州	6.02	10.8	2.73	4.5	2.5	8.5	2.5	-0.5	36.98
16	昌吉回族自治州	3.83	9.5	1.65	4	5	8.5	2.2	-1	33.78
17	常德	8.93	10.2	2.75	6.2	4.1	8.5	1.5	-1	41.12
18	常州	13.59	11	3.84	8.8	5.7	10.5	3	-0.5	55.98
19	郴州	9.44	10.5	1.74	5.5	4.8	9	1.2	-1	41.14
20	成都	13.26	12.6	6.09	6.5	9.6	10	3	-1	59.94
21	滁州	6.02	8.7	2.68	5.2	3.7	8	2	-0.5	35.91
22	大理白族自治州	8.69	12	2.66	3.9	2.1	10	1.7	-1	40.03
23	大连	8.98	8.8	3.94	6.3	8.1	12	3.2	-1	50.37
24	大庆	9.19	11.4	3.7	4.9	6.8	8	2.5	0	46.45
25	大同	6.57	6.9	1.99	4.3	5.7	9.5	2.2	-1	36.16
26	德州	9.68	9.2	1.99	5.2	3.7	9.5	2.2	0	41.44
27	东莞	14	14.4	4.19	8	6.3	11.5	2.5	-1	59.98
28	东营	5.5	9.3	3.66	5.8	5.7	10.5	2.2	-1	41.7
29	鄂尔多斯	11.24	13.6	3.17	4.9	6.8	10.5	2.2	-1	51.44
30	佛山	15.69	14.9	6.85	7.1	6.7	12.5	3.5	-1	66.26
31	福州	8.39	14.7	4.25	7.9	6	8	3.2	-0.5	51.92
32	抚州	9.64	13.1	2.68	5.3	5.5	8.5	2.2	-0.5	46.44
33	阜阳	10.74	8.2	2.74	4.7	3	9	2.5	-0.5	40.43
34	广安	6.25	9.6	2.67	4.2	4.4	9.5	2.2	-1	37.82
35	广州	16.12	15.4	8.97	8.4	10.8	11	2.4	-0.5	72.59
36	贵港	3.62	5.7	1.68	4.2	5.9	9.5	2	0	32.56
37	贵阳	10.11	13	2.09	4.3	6.3	9.5	2.7	-1.5	46.42
38	桂林	7.81	6.4	2.73	5	5.4	9.5	2.5	-0.5	38.85
39	哈尔滨	13.08	7.9	7.45	6.1	6.5	10.5	2.2	-1.5	52.14
40	海东	5.45	4.6	1.62	3.7	2.1	10.5	2	-1	28.95
41	海口	7.89	7.5	4	7.3	7.5	8	2	-0.5	43.74
42	海南藏族自治州	2.92	4.9	1.61	3.9	2.1	8.5	2.2	-0.5	25.68
43	海西蒙古族藏族自治州	2.95	7.5	1.62	4.1	2.1	7.5	2.2	-0.5	27.44
44	邯郸	5.06	9.4	2.73	3.9	5.9	8	2.5	-1	36.46
45	汉中	3.11	6.3	3.68	3.7	5	6.5	2	0	30.28
46	杭州	16.91	16.6	7.74	9.8	11.7	13	3.8	-0.5	79.06
47	合肥	13.43	11.1	4.17	7.8	6.4	9.5	2.7	-0.5	54.54
48	河源	3.17	13.2	4.08	6.7	4.6	8.5	2.2	0	42.45
49	鹤壁	4.53	8.8	2.7	5.6	5.2	8.5	2.2	-0.5	37.04
50	衡阳	11.54	7.8	2.27	5.7	2.5	8.5	1.5	-0.5	39.32
51	红河哈尼族彝族自治州	3.84	8.4	1.66	3.9	2.3	9.5	2.2	-0.5	31.31
52	呼和浩特	11.89	11.6	3.71	4.6	6	9.5	3.2	-1	49.47
53	呼伦贝尔	10.88	11.2	3.16	4.7	5.1	8.5	2	-1	44.55
54	湖州	12.96	14.3	5.99	7	5.8	7	2	-0.5	54.55
55	淮安	13.58	9.6	2.78	6.7	4.4	10.5	3	-1	49.49
56	淮北	4.27	11	2.67	4.8	4.3	9	2.2	-1	37.27
57	淮南	8.38	9.5	2.67	4.9	3.4	9	2.2	-0.5	39.47
58	黄冈	9.69	11.3	2.23	4.7	4.5	9	2.2	-0.5	43.11
59	黄山	6.44	8.1	3.67	6.4	4.4	9.5	2.5	-0.5	40.56
60	惠州	12.27	13.7	5.19	6.9	5.7	10.5	2.5	-1.5	55.18
61	吉安	9.82	12.4	2.68	5.8	6.9	7	2	-0.5	46.05
62	吉林	3.95	13.2	1.72	5.8	3.8	9	2.2	-0.5	39.07
63	济南	9.8	9	4.11	5.7	7.4	10	2.7	-1	47.67
64	济宁	11.01	9.3	3.03	5.4	3.2	8	3.2	-0.5	42.67
65	济源	4.38	10.8	3.66	5	5.6	11	2.2	-0.5	42.14
66	佳木斯	3.99	11.9	2.67	4.8	3.2	8.5	2	-1	36.07
67	嘉兴	14.6	14.4	6.1	8.7	5.7	9.5	2.2	-0.5	60.78
68	江门	11.04	13.5	5.63	6.5	8.3	9.5	2	-1	55.53
69	金昌	5.54	11.2	2.15	4.7	5.2	8.5	2	-0.5	38.79
70	金华	12.76	14.8	6.01	7.7	8	11	2.2	-0.5	62
71	晋城	5.32	6.8	1.69	4.8	3.8	8.5	2.2	-1	32.18
72	荆州	8.03	10.3	2.24	4.3	4.5	9.5	1.7	-1	39.53
73	九江	11.74	13.1	1.74	6.2	6.8	10	2	-1	50.59
74	开封	6.07	9.8	1.69	5.4	4.5	7	1.5	-1	34.95
75	克拉玛依	12.99	9.2	3.62	4.7	5.6	9	3	-0.5	47.52
76	昆明	9.44	12.9	3.65	5.4	6.9	8.5	3.8	-2	48.54
77	拉萨	5.83	7.5	1.63	3.7	5.4	8	2	-0.5	33.48
78	莱芜	4.08	7.8	3.62	4.2	3.4	9	2.2	-0.5	33.82
79	兰州	13.89	11.7	1.74	5.1	6.4	10	2.5	-1	50.26
80	廊坊	9.42	10.3	3.72	4.8	4.1	7	2.2	-0.5	40.99
81	乐山	5.07	9.1	2.69	3.9	7.3	10	2.2	-1	39.27
82	丽江	5.66	11.6	1.94	4.4	2.5	7.5	1.4	-0.5	34.48
83	丽水	11.57	15	6.04	7.8	4.9	9	2.2	-2	54.5
84	连云港	8.68	9.6	3.76	5.2	5.6	9	2.5	-0.5	43.9
85	辽源	4	8.9	1.64	5.6	3.8	10.5	2.2	-1	35.67
86	林芝	3.22	2.8	1.61	3.5	3.9	6.5	2	-1	22.48
87	临沂	10.81	8.8	4.04	5.4	4.8	8.5	2.2	-1	43.46
88	柳州	11.48	10.5	2.74	4.5	6.3	9	2	-0.5	45.9
89	六安	3.17	9.2	3.69	5.3	2.9	9	2	-1	34.3
90	六盘水	11.22	12.1	1.94	3.6	4.4	10	2.2	-0.5	44.95
91	龙岩	8.25	14.5	3.78	6	5.6	8	2.2	-1	47.32
92	陇南	3.92	12	2.64	4.5	2.7	8	2	-0.5	35.17
93	泸州	7.17	8.3	3.7	4.2	5.6	10.5	2	0	41.44
94	洛阳	8.38	10.2	3.05	5.9	4.4	9.5	2.5	0	44.02
95	漯河	7.42	5.1	1.69	5.5	5.5	9	2.2	-1	35.43
96	吕梁	3.54	7.8	1.69	4.8	2.5	8	2	-1	29.41
97	马鞍山	9.92	11.8	3.66	4.7	4.7	8	2	-0.5	44.24
98	绵阳	10.58	9.1	3.74	4.9	5.9	10	2.2	-0.5	45.92
99	牡丹江	7.54	8.6	3.68	4.8	6.2	8.5	2.5	0	41.88
100	南昌	13.78	14.1	3.14	5.5	5.5	10.5	2.5	-0.5	54.48
101	南充	6.65	8	2.73	5.2	5.5	8.5	2.2	-0.5	38.25
102	南京	14.07	10.4	5.77	8.3	8.6	11.5	3.2	-0.5	61.41
103	南宁	10.49	10.9	2.85	4.8	7.4	10	2	0	48.44
104	南平	10.85	14.3	3.77	5.6	7.9	8.5	2.7	-1	52.62
105	南通	9.28	10.5	3.84	7	5.8	10.5	2	-0.5	48.44
106	南阳	8.23	9.3	3.04	5.6	5.4	10	2.5	-0.5	43.56
107	宁波	17.32	15.9	6.96	7	7.3	9.5	3.8	0	67.86
108	莆田	9.31	14	1.79	7.1	6.5	7.5	2.2	0	48.5
109	齐齐哈尔	5.27	11.5	3.2	4.7	6.9	8.5	2	-0.5	41.55
110	黔东南苗族侗族自治州	2.99	12.5	1.64	3.4	2.2	6	1.7	-1	29.47
111	钦州	5.34	6.8	3.66	4.7	4.8	9.5	1.5	-0.5	35.75
112	秦皇岛	9.34	8.6	2.68	4.5	4.5	8.5	3.5	-0.5	41.16
113	青岛	14.34	12.3	9.23	6.9	5.4	12.5	3.5	-1.5	62.62
114	衢州	7.2	15	6.03	5	4.9	8.5	2.2	-1	47.8
115	泉州	11.34	15	4.29	6.6	8	11.5	2.2	-0.5	58.43
116	日照	4.84	8.7	3.67	4.7	4.4	8.5	2	-0.5	36.3
117	三亚	7.67	10.1	3.12	6.9	5.4	9.5	1.5	-0.5	43.71
118	厦门	14.68	13.6	4.73	8.2	9.4	11	3	-0.5	64.08
119	汕头	7.76	13	5.65	6.7	5.2	8.5	1.7	-0.5	47.96
120	上海	16.75	15.4	12.08	10.7	11.7	11.5	4	-2	80.13
121	上饶	12.51	13.1	3.03	5.3	5.5	7.5	1.7	-1	47.58
122	绍兴	14.12	14.7	6.02	7	5.9	11	2.2	-0.5	60.49
123	深圳	16.81	16	10.05	10.4	11.3	13	4	-1	80.57
124	沈阳	11.7	10.6	3.94	5.1	6.1	10.5	3.5	-1	50.5
125	石家庄	8.12	5.2	3.81	4.8	5.9	9	2.5	-0.5	38.86
126	石嘴山	4.42	8.1	1.71	5	4.2	9	2	-0.5	33.9
127	朔州	4.7	8.3	1.65	4.2	5.9	8.5	2.5	-1	34.78
128	四平	7.13	9.6	2.17	5.6	5.6	8.5	1.2	-0.5	39.26
129	苏州	16.18	14	5.76	7.3	7.9	11	3	-2	63.12
130	绥化	3.47	5.5	1.67	4.6	2.2	8	2.2	0	27.73
131	遂宁	11.38	4.9	3.68	4.7	6.1	11	2	-0.5	43.18
132	台州	11.81	14.2	5.98	7.6	5.8	9.5	2.2	-1.5	55.52
133	太原	10.46	5.7	3.15	4.9	6.1	9.5	2	-0.5	41.39
134	泰州	11.34	13.9	2.78	5.8	6	9	2.2	-1	50.08
135	唐山	8.14	9.3	3.76	4	5.9	9	3	-1	42.09
136	天津	12.04	12.1	4.26	6.8	7.3	9.5	4	-2	53.97
137	天水	9.86	11.5	2.16	4.5	6.2	10	2	-0.5	45.67
138	通化	4.71	10.3	2.66	5.7	3.7	10.5	2.2	-1	38.78
139	铜陵	5.91	7.9	2.86	5.1	5.3	11	2.2	-1	39.27
140	铜仁	5.85	9.4	1.96	3.6	2.3	9.5	1.5	-0.5	33.62
141	威海	12.86	9.1	4.38	5.7	6.3	11.5	3.5	0	53.38
142	潍坊	14.13	10.7	3.06	5.3	5.2	11.5	2.2	-0.5	51.61
143	渭南	4.51	9.7	2.71	3.6	4.9	9	2.2	-1	35.75
144	温州	11.01	15.4	6.14	7.8	5.8	9.5	3.3	-0.5	58.42
145	文山壮族苗族自治州	2.95	11.3	1.65	3.9	3.5	7	2	-0.5	31.83
146	乌海	6.54	5.7	3.92	4.8	5.3	11.5	2.2	0	40
147	乌鲁木齐	7.97	5.5	2.23	4.9	5.3	9.5	2.5	-0.5	37.43
148	无锡	18.07	15	8.05	8.3	10	13.5	3.8	0	76.71
149	芜湖	7.28	8.1	4.51	6.4	5	9.5	3.2	-1	43.04
150	吴忠	5.48	5.8	1.97	4.9	3.4	9	2.2	0	32.7
151	武汉	13.13	11.1	11.33	6	8.1	10	3.2	-1	61.91
152	西安	8.06	7	4.12	4.7	7.6	9	3.2	-0.5	43.13
153	西宁	8.14	4.1	1.67	5.2	6.4	7	2	-1	33.61
154	仙桃	2.83	8.6	2.18	4.4	4.8	8.5	1.4	-1	31.72
155	咸宁	4.43	8.6	2.2	4.9	4.8	11	1.5	-0.5	36.86
156	咸阳	8.48	6.8	3.02	5.1	5	7.5	2.7	-1	37.59
157	湘潭	6.85	10.2	3.67	5.1	2.7	9.5	2.5	-0.5	40.01
158	襄阳	13.73	11.3	2.23	4.3	5.1	8.5	2.5	-0.5	47.16
159	忻州	3.34	7.9	1.67	4.3	5	8	2.2	0	32.3
160	新余	13.35	14.1	3.68	4	3	10	2.5	-0.5	50.2
161	宿迁	4.47	13.9	3.78	5.9	5.5	9	2	-0.5	44.07
162	宿州	4.04	12.9	1.68	5.2	3.2	10.5	2.2	-0.5	39.23
163	徐州	6.64	9.3	3.84	6	6.4	9.5	3.2	-0.5	44.34
164	许昌	4.15	9.5	2.71	5.4	5.5	10.5	2.8	-1	39.57
165	雅安	5.02	9.6	2.65	4.3	6.1	10.5	2.2	-0.5	39.91
166	烟台	8.51	8.1	2.55	5.9	5.2	9	2.2	-1	40.47
167	延安	5.6	4.7	2.67	3.7	5	8.5	2.2	-1	31.4
168	盐城	8.75	8.2	3.85	6.3	3.8	8.5	2	-0.5	40.96
169	扬州	13.03	10	6.3	6.6	6.4	10	2.2	-0.5	54.04
170	阳泉	5.21	8.1	2.66	4.4	5.4	9	2.2	-1	36.06
171	伊犁哈萨克自治州	3.22	6.1	1.64	4	4.8	6	2.2	0	27.99
172	宜宾	6.96	10.1	2.71	4.2	6.4	12	2.2	-0.5	44.1
173	宜昌	14.02	10.2	4.24	5.2	4.9	11.5	3.5	-1	52.52
174	宜春	10.71	11.2	2.72	5.9	5.5	9	1.7	-1	45.79
175	益阳	3.09	10.4	1.71	5.7	2.6	9	1.4	-0.5	33.47
176	银川	12.61	8.9	3.15	5.4	5.1	10	3.2	-1	47.32
